,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified
63048,"-84.5915,33.3976",Wed Jul 08 09:58:32 +0000 2020,fourthofjuly independenceday,,https://www.instagram.com/p/CCYH1KTjrss/?igshid=wcr9r5z3apys,0,1280803446602567680,,,,en,"Peachtree City, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Do to COVID-19 concerns, Peachtree City did not host their usual Independence Day fireworks and parade this year. So, we had a very simple Fourth of July at home, but we still had fun. #fourthofjuly #independenceday… https://t.co/ezQBhZtDEJ",https://twitter.com/MediumValerie/status/1280803446602567680,Thu Jul 22 00:02:25 +0000 2010,MediumValerie,False,"Italian American, Psychic Medium, Reiki Master, Pranic Healing Practitioner, Writer, and Mother of 3 Young Adults 🤔 ❤️",67,5318,2385,73,"Peachtree City, Ga.",Valerie Renee,MediumValerie,11880,,http://www.psychicmediumvalerie.com,False
63067,"-85.1653006,34.24211418",Wed Jul 08 10:14:01 +0000 2020,,,https://www.instagram.com/p/CCYJmwnJJ4n/?igshid=m6grafqgyxjx,0,1280807342653800448,,,,en,"Rome, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","At the Y, we believe quality family time is essential for building strong relationships and promoting healthy habits! When you head outside for family fun follow these 5 tips: Bring hand sanitizer, don’t  touch… https://t.co/UAPmOs1r8H",https://twitter.com/RomeFloydYMCA/status/1280807342653800448,Tue Sep 15 18:50:59 +0000 2009,RomeFloydYMCA,False,"Mission Statement: To put Christian principles into practice, through programs that build a healthy spirit, mind and body for all.",35,953,373,39,"Rome, GA",Rome-Floyd YMCA,RomeFloydYMCA,2271,,http://www.ymcarome.org,False
63173,"-84.3889,33.7566",Wed Jul 08 13:18:34 +0000 2020,,,https://www.instagram.com/p/CCYadSmBast/?igshid=1cqxwb3ioy2d3,0,1280853785552785408,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","President Donald Trump on Tuesday launched an all-out effort to reopen schools this fall, arguing that some are keeping schools closed not because of the coronavirus pandemic, but for political reasons against the… https://t.co/JnfZhQMUWR",https://twitter.com/streetz945atl/status/1280853785552785408,Fri Jun 22 17:03:57 +0000 2012,streetz945atl,False,The OFFICIAL TWITTER for Streetz 94.5 Atlanta | Atlanta's Number 1 Station in the STREETZ |#streetz945atl #streetz945 IG @streetz945atl,416,38931,1215,177,"Atlanta, GA",Streetz 94.5 ATL,streetz945atl,118215,,http://www.streetz945atl.com,False
63231,"-84.38130592,33.78453699",Wed Jul 08 14:52:51 +0000 2020,,,https://www.instagram.com/p/CCYphLABf-j/?igshid=19dvnorc49wi8,0,1280877515180060672,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Wait for it .....🍃🍃🍃🍃no EXCUSES .,,COVID aint stopping ish ..

I SERVE JEHOVAH @ Somewhere Getting Fine https://t.co/VoTkkpZB38",https://twitter.com/thefineasschef/status/1280877515180060672,Sun Jun 23 20:58:31 +0000 2019,thefineasschef,False,Chef Melinda Williams RN CMSRN VEGAN MADE SEXY EBook Available for Purchase . VEGAN CHEF ATL H•O• E ( HEALTH OVER EVERYTHANG) Registered Nurse Health Coach,37,20,177,0,Atlanta ,“The Chef that aint Feeding Ya Soup”,thefineasschef,410,,http://fineasschef.com,False
63392,"-84.3889,33.7566",Wed Jul 08 18:57:53 +0000 2020,Facemask FashionFaceMask Fashion COVID19 Ankara werkwerkwerk,,https://www.instagram.com/p/CCZFj3LlvU1/?igshid=clw5wf20okqk,0,1280939180428689408,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","🎶 She's your Queen to be ❤️ 🎶 .... #Facemask #FashionFaceMask #Fashion #COVID19 #Ankara #werkwerkwerk @ Atlanta, Georgia https://t.co/VOBaZCfsdY",https://twitter.com/_BetaZeta/status/1280939180428689408,Thu Aug 13 20:47:52 +0000 2009,_BetaZeta,False,"Singer, Songwriter, Founder of Peculiar People (@_PeculiarPeople), future Author, and most importantly a Woman of God! iRep ΔΣΘ!

We are the chosen generation!",3245,1484,1435,37,"ï¿½T: 34.937297,-80.993982",Britney Nicole,_BetaZeta,21989,,http://www.facebook.com/BritneyZanders,False
63472,"-85.1963203,34.9625407",Wed Jul 08 21:59:53 +0000 2020,,,https://www.instagram.com/p/CCZaYmBgA94/?igshid=1283wk2u95p8z,0,1280984979309281280,,,,en,"Fort Oglethorpe, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","New glasses!! Not my Ray-Bans but I CAN SEE...this COVID-19 had it nearly impossible to get my glasses replaced after I munched them in my December car accident.

Building a Z-Wall area tonight..vertical pegboard to… https://t.co/aLqR25wCCh",https://twitter.com/shell4art/status/1280984979309281280,Thu Dec 18 11:56:36 +0000 2008,shell4art,False,"God! Health, Family, Music Publishing and Management, Artists4Change,  shell's photography, art, creativity, music , love",192,94,142,6,"Chattanooga, TN",shell,shell4art,2544,,https://artists4change.net,False
63498,"-81.38643491,31.15633367",Wed Jul 08 23:58:19 +0000 2020,covid19 greenscreen bts videoproduction setlife,,https://www.instagram.com/p/CCZn8C4gQI0/?igshid=w60niurbqyza,2,1281014783492468736,,,,en,"St Simons, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Fun on the green screen with rich_products and the clutch remote directing by thescout_agency.
.
.
.
#covid19 #greenscreen #bts #videoproduction #setlife🎥 @ Rich Products https://t.co/FWtVMdqEhO",https://twitter.com/iMintMedia/status/1281014783492468736,Fri Mar 11 01:17:22 +0000 2011,iMintMedia,False,iMint Media is a boutique video production company located on the Georgia coast.,32,71,41,2,Brunswick GA,iMint Media,iMintMedia,238,,http://www.imintmedia.com,False
63610,"-84.3889,33.7566",Thu Jul 09 02:47:48 +0000 2020,,,https://www.instagram.com/p/CCZ7Vk_h5YCnH5DqzvnzxXNiTEaC1M8Rq6n4FA0/?igshid=xoykw46ni9t9,0,1281057438544932864,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","The Republican administration (45) and Republican leadership have deliberately lied to us and lied about systematic racism, the pandemic, and stated most of us don't deserve the same… https://t.co/G3lfgn7RMB",https://twitter.com/Mdcabe/status/1281057438544932864,Thu Apr 09 02:16:43 +0000 2009,Mdcabe,False,"Typical foodie that loves to adventure, unaplogetic democrat",28,130,241,2,"Atlanta, GA",Michael D Cabe,Mdcabe,182,,,False
63634,"-84.5184,33.8719",Thu Jul 09 03:03:21 +0000 2020,maskon maskup masks4all masked mask coronavirus covid_19 COVID19 coronavirusoutbreak pandemic2020,,https://www.instagram.com/p/CCZ9Ha7nC4l/?igshid=l5e97029ysli,2,1281061349410304000,,,,en,"Smyrna, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Wearing a mask can save lives. My son and I have asthma. Maybe the lives you will save will be ours.

#maskon #maskup #masks4all #masked #mask #coronavirus #covid_19 #COVID19 #coronavirusoutbreak⚠️ #pandemic2020 @… https://t.co/SzcgvM4VQ1",https://twitter.com/MariaRSmith/status/1281061349410304000,Thu Apr 02 21:05:36 +0000 2009,MariaRSmith,False,Former #Oprah producer➡️ #Travelblogger. 4 kids 12 & under. #smithfamtravels  🏀🎾🙏 💜 #Atlanta #familytravel #tennis #basketballcoach  🌊,2631,9202,6385,275,"Atlanta, GA",Maria Smith,MariaRSmith,28321,,http://www.mamaliciousmaria.com,False
63777,"-81.0952,32.0702",Tue Mar 24 12:43:46 +0000 2020,corona cobbler,,https://www.instagram.com/p/B-Hee2FgH3I/?igshid=13pzlgt1opo8k,0,1242431915199795200,,,,en,"Savannah, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Made some #corona peach #cobbler while holed up in the house. Damn good stuff! @ Savannah, Georgia https://t.co/Hdgi5mW8xG",https://twitter.com/mmdubya/status/1242431915199795200,Thu Jan 14 16:48:39 +0000 2010,mmdubya,False,"Payments RockStar- Rockin the payments world one tune at a time. PCI/PADSS, infosec & systems integration. Yeah, well these are just like MY opinions man.",4048,1212,2401,78,"Savannah, GA",Melissa Wood,mmdubya,18750,,http://www.linkedin.com/in/mmdubya,False
63832,"-84.3889,33.7566",Tue Mar 24 15:47:34 +0000 2020,,,https://www.instagram.com/p/B-HzhHlJx1YOy52dKS0cV29Boc5MawaEP1MWyg0/?igshid=h1uec2yyriir,0,1242478171359977472,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Corona V check in , all is well , does this mug make my face look phatt 😂😂😂 @ Atlanta, Georgia https://t.co/6h1vCb3EUz",https://twitter.com/blkcaddi/status/1242478171359977472,Thu Dec 10 02:04:49 +0000 2009,blkcaddi,False,"Outspoken, yet passive aggressive , lol , loving life Blessed and Favored!",1234,73,209,1,"Atlanta,Ga",Thomas Bennett,blkcaddi,2901,,,False
63834,"-84.3889,33.7566",Tue Mar 24 14:39:53 +0000 2020,holligan explorepage explorepages irwin britton irwinbritton atlanta beard beardporn blackmenwithbeards musicvideo demovideo bok king viral trending youtube corona,,https://www.instagram.com/p/B-Fem-TgeTv/?igshid=1c5mqvvw48zj3,0,1242461134935949312,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Do Whatever I Want | #holligan #explorepage #explorepages #irwin #britton #irwinbritton #atlanta #beard #beardporn #blackmenwithbeards #musicvideo #demovideo #bok #king #viral #trending #youtube #corona… https://t.co/cTBX14RPJ2,https://twitter.com/ElSalvodore/status/1242461134935949312,Wed Jun 24 03:05:42 +0000 2009,ElSalvodore,False,IG @iixxvvvv IT TAKES MORE THAN JUST LOOKS 🎈💪🏽,417,752,321,13,"Atlanta, GA",Irwin Britton,ElSalvodore,30986,,https://www.youtube.com/user/Iwbrit91,False
63840,"-84.3889,33.7566",Tue Mar 24 14:40:06 +0000 2020,holligan explorepage explorepages irwin britton irwinbritton atlanta beard beardporn blackmenwithbeards musicvideo demovideo bok king viral trending youtube corona,,https://www.instagram.com/p/B-Fem-TgeTv/?igshid=1nrms72dbh0fe,0,1242461191412342784,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Do Whatever I Want | #holligan #explorepage #explorepages #irwin #britton #irwinbritton #atlanta #beard #beardporn #blackmenwithbeards #musicvideo #demovideo #bok #king #viral #trending #youtube #corona… https://t.co/Y3My8942E1,https://twitter.com/ElSalvodore/status/1242461191412342784,Wed Jun 24 03:05:42 +0000 2009,ElSalvodore,False,IG @iixxvvvv IT TAKES MORE THAN JUST LOOKS 🎈💪🏽,417,752,321,13,"Atlanta, GA",Irwin Britton,ElSalvodore,30986,,https://www.youtube.com/user/Iwbrit91,False
